# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
12000000 30 3640
  10 0.186329 104 1.00226
  11 1.18633 114 1.17008
  12 2.18633 131 1.09488
  13 3.18633 120 1.20712
  14 4.18633 125 1.17137
  15 5.18633 127 1.25765
  16 6.18633 128 1.13185
  17 7.18633 115 1.07382
  18 8.18633 119 1.03815
  19 9.18633 143 1.48345
  20 10.1863 134 1.40572
  21 11.1863 117 1.20207
  22 12.1863 108 0.991158
  23 13.1863 132 1.30214
  24 14.1863 117 1.11336
  25 15.1863 126 1.33406
  26 16.1863 116 1.06887
  27 17.1863 118 1.27251
  28 18.1863 127 1.25641
  29 19.1863 125 1.06776
  30 20.1863 78 0.69484
12180000 30 3640
  1 -8.81367 95 0.806155
  2 -7.81367 157 1.59851
  3 -6.81367 113 1.10485
  4 -5.81367 128 1.24871
  5 -4.81367 120 1.08386
  6 -3.81367 145 1.51149
  7 -2.81367 125 1.20413
  8 -1.81367 125 1.17435
  9 -0.813671 114 1.14087
  10 0.186329 109 1.03557
  11 1.18633 104 1.06774
  12 2.18633 130 1.13235
  13 3.18633 128 1.32569
  14 4.18633 121 1.22758
  15 5.18633 132 1.2092
  16 6.18633 123 1.10618
  17 7.18633 120 1.19042
  18 8.18633 116 1.05674
  19 9.18633 147 1.50169
  20 10.1863 125 1.17188
  21 11.1863 119 1.18918
  22 12.1863 120 1.16313
  23 13.1863 119 1.17198
  24 14.1863 124 1.30959
  25 15.1863 121 1.20274
  26 16.1863 118 1.15079
  27 17.1863 124 1.34296
  28 18.1863 110 1.16436
  29 19.1863 115 0.912895
  30 20.1863 93 0.923805
12190000 30 3640
  1 -8.81367 105 0.988754
  2 -7.81367 142 1.41358
  3 -6.81367 120 1.15544
  4 -5.81367 132 1.23939
  5 -4.81367 122 1.24553
  6 -3.81367 118 1.27681
  7 -2.81367 128 1.27571
  8 -1.81367 117 1.13912
  9 -0.813671 120 1.14171
  10 0.186329 111 1.00636
  11 1.18633 109 1.1956
  12 2.18633 134 1.22699
  13 3.18633 127 1.25823
  14 4.18633 116 1.16531
  15 5.18633 132 1.28959
  16 6.18633 126 1.16804
  17 7.18633 119 1.12908
  18 8.18633 123 1.17434
  19 9.18633 133 1.37971
  20 10.1863 141 1.39096
  21 11.1863 110 1.15909
  22 12.1863 114 0.980054
  23 13.1863 117 1.20559
  24 14.1863 112 1.14669
  25 15.1863 130 1.33587
  26 16.1863 116 1.17794
  27 17.1863 121 1.26817
  28 18.1863 121 1.15799
  29 19.1863 123 1.16675
  30 20.1863 101 0.944942
12200000 30 3640
  1 -8.81367 110 1.13109
  2 -7.81367 122 1.22398
  3 -6.81367 116 1.18881
  4 -5.81367 138 1.28675
  5 -4.81367 114 1.10845
  6 -3.81367 127 1.28164
  7 -2.81367 126 1.33061
  8 -1.81367 130 1.22654
  9 -0.813671 121 1.14244
  10 0.186329 110 1.11869
  11 1.18633 105 1.10848
  12 2.18633 132 1.21532
  13 3.18633 129 1.24663
  14 4.18633 121 1.18253
  15 5.18633 121 1.15379
  16 6.18633 129 1.25537
  17 7.18633 113 1.0395
  18 8.18633 117 1.0584
  19 9.18633 137 1.43109
  20 10.1863 130 1.35076
  21 11.1863 126 1.28543
  22 12.1863 114 1.09215
  23 13.1863 114 1.14244
  24 14.1863 127 1.31068
  25 15.1863 118 1.19004
  26 16.1863 120 1.13362
  27 17.1863 114 1.33064
  28 18.1863 136 1.3545
  29 19.1863 115 0.960543
  30 20.1863 108 0.985496
12210000 30 3640
  1 -8.81367 95 0.997676
  2 -7.81367 133 1.23079
  3 -6.81367 123 1.25543
  4 -5.81367 130 1.22444
  5 -4.81367 118 1.10306
  6 -3.81367 135 1.32977
  7 -2.81367 133 1.3137
  8 -1.81367 127 1.2356
  9 -0.813671 114 1.09323
  10 0.186329 104 1.01512
  11 1.18633 106 1.08444
  12 2.18633 132 1.25436
  13 3.18633 132 1.16519
  14 4.18633 123 1.2542
  15 5.18633 130 1.22572
  16 6.18633 139 1.31132
  17 7.18633 114 1.05474
  18 8.18633 121 1.09076
  19 9.18633 144 1.55537
  20 10.1863 118 1.21321
  21 11.1863 130 1.31864
  22 12.1863 108 0.915982
  23 13.1863 120 1.15145
  24 14.1863 125 1.34108
  25 15.1863 123 1.23554
  26 16.1863 121 1.17116
  27 17.1863 125 1.41653
  28 18.1863 112 1.07455
  29 19.1863 125 0.988022
  30 20.1863 80 0.788167
12220000 32 3640
  1 -9.81367 0 0
  2 -8.81367 128 1.27516
  3 -7.81367 140 1.33537
  4 -6.81367 116 1.23473
  5 -5.81367 130 1.18581
  6 -4.81367 120 1.10785
  7 -3.81367 127 1.44333
  8 -2.81367 122 1.17568
  9 -1.81367 130 1.22727
  10 -0.813671 118 1.15319
  11 0.186329 100 1.00343
  12 1.18633 105 1.14309
  13 2.18633 136 1.18845
  14 3.18633 129 1.29515
  15 4.18633 106 1.09904
  16 5.18633 133 1.20719
  17 6.18633 123 1.16943
  18 7.18633 118 1.13927
  19 8.18633 118 1.13552
  20 9.18633 136 1.48501
  21 10.1863 130 1.22606
  22 11.1863 114 1.25102
  23 12.1863 120 1.09279
  24 13.1863 107 1.0613
  25 14.1863 124 1.22608
  26 15.1863 128 1.35672
  27 16.1863 122 1.25364
  28 17.1863 108 1.05376
  29 18.1863 113 1.18576
  30 19.1863 128 1.11799
  31 20.1863 111 1.09646
  32 21.1863 0 0
12230000 30 3640
  1 -8.81367 114 1.14885
  2 -7.81367 131 1.26554
  3 -6.81367 112 1.14498
  4 -5.81367 139 1.362
  5 -4.81367 122 1.13128
  6 -3.81367 126 1.29294
  7 -2.81367 120 1.2153
  8 -1.81367 137 1.35568
  9 -0.813671 113 1.10258
  10 0.186329 103 0.975849
  11 1.18633 105 1.11121
  12 2.18633 128 1.16777
  13 3.18633 128 1.19284
  14 4.18633 117 1.16507
  15 5.18633 123 1.24791
  16 6.18633 125 1.20528
  17 7.18633 122 1.13258
  18 8.18633 118 1.05866
  19 9.18633 134 1.4296
  20 10.1863 135 1.36213
  21 11.1863 122 1.22148
  22 12.1863 106 1.01465
  23 13.1863 133 1.25184
  24 14.1863 117 1.30181
  25 15.1863 132 1.2768
  26 16.1863 113 1.18255
  27 17.1863 127 1.38959
  28 18.1863 121 1.14515
  29 19.1863 113 0.987173
  30 20.1863 104 0.99329
12240000 30 3640
  1 -8.81367 121 1.14846
  2 -7.81367 134 1.30899
  3 -6.81367 98 0.964158
  4 -5.81367 142 1.38659
  5 -4.81367 123 1.20225
  6 -3.81367 108 1.09824
  7 -2.81367 145 1.48567
  8 -1.81367 130 1.2737
  9 -0.813671 117 1.15488
  10 0.186329 100 0.902783
  11 1.18633 105 1.08712
  12 2.18633 140 1.33778
  13 3.18633 125 1.24381
  14 4.18633 127 1.23491
  15 5.18633 126 1.15606
  16 6.18633 124 1.22737
  17 7.18633 127 1.2024
  18 8.18633 120 1.09088
  19 9.18633 134 1.35906
  20 10.1863 125 1.33392
  21 11.1863 113 1.19726
  22 12.1863 121 1.06699
  23 13.1863 114 1.22114
  24 14.1863 123 1.15357
  25 15.1863 126 1.359
  26 16.1863 116 1.17349
  27 17.1863 117 1.17859
  28 18.1863 122 1.26868
  29 19.1863 121 1.12344
  30 20.1863 96 0.878912
12250000 30 3640
  1 -8.81367 91 0.807471
  2 -7.81367 145 1.46497
  3 -6.81367 118 1.12452
  4 -5.81367 129 1.31503
  5 -4.81367 125 1.09109
  6 -3.81367 126 1.36326
  7 -2.81367 134 1.2855
  8 -1.81367 121 1.21727
  9 -0.813671 131 1.2471
  10 0.186329 104 1.00322
  11 1.18633 111 1.13932
  12 2.18633 119 1.02424
  13 3.18633 147 1.49235
  14 4.18633 109 1.02164
  15 5.18633 130 1.26075
  16 6.18633 123 1.13317
  17 7.18633 124 1.11213
  18 8.18633 119 1.15551
  19 9.18633 142 1.43404
  20 10.1863 138 1.34488
  21 11.1863 114 1.23947
  22 12.1863 103 0.900347
  23 13.1863 127 1.26327
  24 14.1863 115 1.08242
  25 15.1863 132 1.42281
  26 16.1863 115 1.11078
  27 17.1863 131 1.33758
  28 18.1863 121 1.1579
  29 19.1863 112 1.03287
  30 20.1863 84 0.796327
12260000 30 3640
  1 -8.81367 98 0.973992
  2 -7.81367 147 1.40239
  3 -6.81367 109 1.06882
  4 -5.81367 134 1.27238
  5 -4.81367 118 1.09763
  6 -3.81367 138 1.45332
  7 -2.81367 126 1.28356
  8 -1.81367 126 1.25238
  9 -0.813671 110 0.995386
  10 0.186329 107 1.10762
  11 1.18633 115 1.16258
  12 2.18633 123 1.14016
  13 3.18633 124 1.16012
  14 4.18633 131 1.32858
  15 5.18633 132 1.27618
  16 6.18633 115 1.06015
  17 7.18633 120 1.10641
  18 8.18633 110 0.984103
  19 9.18633 143 1.53702
  20 10.1863 129 1.30989
  21 11.1863 112 1.15498
  22 12.1863 113 1.05396
  23 13.1863 120 1.10512
  24 14.1863 123 1.29863
  25 15.1863 125 1.26495
  26 16.1863 112 1.17611
  27 17.1863 134 1.3124
  28 18.1863 132 1.37736
  29 19.1863 107 0.976508
  30 20.1863 107 0.982817
12270000 30 3640
  1 -8.81367 95 0.957594
  2 -7.81367 136 1.31567
  3 -6.81367 122 1.22833
  4 -5.81367 130 1.29561
  5 -4.81367 123 1.17217
  6 -3.81367 126 1.21213
  7 -2.81367 134 1.33687
  8 -1.81367 125 1.21705
  9 -0.813671 112 1.05491
  10 0.186329 100 1.09983
