# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
12642000 304.62 1453.75 1.20041 39569.4
12644000 314.814 -724.468 1.20958 39269.4
12646000 316.065 -287.421 1.193 39815
12648000 312.589 -62.2936 1.19704 39680.5
12650000 316.776 1737.44 1.20467 39429.5
12652000 315.193 -768.973 1.20122 39542.6
12654000 310.008 151.481 1.20379 39458.1
12656000 310.107 1627.04 1.21327 39150
12658000 313.006 -2541.69 1.19915 39610.7
12660000 317.412 -603.72 1.19621 39708.1
12662000 311.037 881.79 1.19549 39732.1
12664000 313.508 -593.445 1.19475 39756.6
12666000 314.281 -252.574 1.21157 39204.7
12668000 306.932 -880.699 1.20939 39275.4
12670000 312.439 574.792 1.20063 39562.1
12672000 316.433 -15.8851 1.19904 39614.6
12674000 308.288 -1130.09 1.19881 39621.9
12676000 304.981 399.279 1.20149 39533.8
12678000 314.159 335.097 1.21119 39217.2
12680000 316.009 -1480.59 1.20564 39397.5
12682000 314.971 1441.11 1.20391 39454.3
12684000 314.887 1035.25 1.20687 39357.6
12686000 312.522 707.139 1.19969 39593.1
12688000 311.17 161.334 1.20579 39392.6
12690000 311.416 310.153 1.20919 39282.1
12692000 311.966 2159.1 1.20879 39294.9
12694000 319.152 -596.435 1.22086 38906.5
12696000 310.555 -156.183 1.19878 39623.1
12698000 316.559 -1379.35 1.20533 39407.8
12700000 312.822 -812.936 1.2083 39310.9
12702000 308.847 2364.66 1.20751 39336.6
12704000 317.921 -1343.34 1.20027 39574
12706000 310.893 -84.0301 1.1976 39662
12708000 308.912 425.052 1.2214 38889.3
12710000 311.955 300.691 1.20616 39380.7
12712000 310.25 -131.493 1.2039 39454.4
12714000 303.878 1640.33 1.20401 39450.8
12716000 307.398 354.793 1.21928 38956.9
12718000 313.735 -501.487 1.20433 39440.5
12720000 314.88 -1546.03 1.19644 39700.7
12722000 324.418 183.523 1.20293 39486.3
12724000 309.1 72.7091 1.20528 39409.5
12726000 317.165 892.852 1.20618 39379.8
12728000 318.016 -611.374 1.20566 39396.9
12730000 310.907 553.591 1.19958 39596.5
12732000 312.571 463.126 1.20489 39422.2
12734000 308.746 -1401.03 1.20201 39516.7
12736000 316.429 -506.419 1.19398 39782.5
12738000 312.84 953.029 1.20371 39460.7
12740000 318.679 1944.31 1.20221 39510
12742000 312.776 337.146 1.20379 39458.2
12744000 310.3 -651.039 1.20324 39476.4
12746000 316.022 -237.804 1.1972 39675.2
12748000 306.932 -959.696 1.19695 39683.5
12750000 317.08 458.845 1.20651 39369.2
12752000 317.463 486.739 1.2028 39490.6
12754000 309.592 -557.727 1.20429 39441.6
12756000 312.019 -584.558 1.19039 39902.4
12758000 314.481 -1260.05 1.19272 39824.5
12760000 307.601 1984.77 1.20129 39540.2
12762000 321.702 902.972 1.20255 39498.8
12764000 314.098 221.858 1.18606 40048
12766000 310.427 -1064.77 1.18923 39941.3
12768000 313.38 475.346 1.2043 39441.4
12770000 312.877 163.965 1.19985 39587.9
12772000 314.809 581.729 1.18391 40120.6
12774000 314.58 -473.2 1.20514 39414
12776000 314.15 1462.89 1.20557 39399.7
12778000 305.66 1253.55 1.20304 39482.9
