# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
17580000 1.48143
17585000 1.74047
17590000 1.76597
17595000 2.2253
17600000 1.93142
17605000 2.19062
17610000 1.6908
17615000 1.78227
17620000 1.49448
17625000 1.43047
17630000 2.08037
17635000 1.63761
17640000 1.71953
17645000 1.61532
17650000 1.81058
17655000 1.82236
17660000 1.68833
17665000 2.00232
17670000 1.77008
17675000 1.642
17680000 2.10206
17685000 2.07902
17690000 2.01672
17695000 1.64206
17700000 1.9737
17705000 1.65146
17710000 1.66106
17715000 2.37164
17720000 1.70839
17725000 1.60026
17730000 1.78157
17735000 1.99675
17740000 1.72624
17745000 1.64802
17750000 2.0622
17755000 2.00094
17760000 1.8177
17765000 2.75675
17770000 1.88045
17775000 1.4129
17780000 1.62286
17785000 1.60276
17790000 1.58159
17795000 1.25182
17800000 1.3961
17805000 1.62929
17810000 1.25041
17815000 1.6056
17820000 1.436
17825000 1.36067
17830000 1.55627
17835000 1.59025
17840000 1.68711
17845000 1.60793
17850000 1.38633
17855000 1.61848
17860000 1.88791
17865000 1.53265
17870000 1.43693
17875000 1.77382
17880000 1.5923
17885000 1.68999
17890000 1.56277
17895000 1.74427
17900000 1.91968
17905000 1.62018
17910000 1.69148
17915000 1.6246
17920000 1.41295
17925000 1.40919
17930000 1.6392
17935000 1.5934
17940000 1.47384
17945000 1.85802
17950000 1.52526
17955000 1.56608
17960000 1.75369
17965000 1.34249
17970000 1.5605
17975000 1.52091
17980000 2.19759
17985000 1.49354
17990000 1.88152
17995000 1.64203
18000000 1.64751
18005000 1.78552
18010000 1.27412
18015000 1.51551
18020000 1.72571
18025000 1.54363
18030000 1.71748
18035000 1.69163
18040000 1.52003
18045000 2.08019
18050000 1.59347
18055000 1.66862
18060000 1.48434
18065000 1.74129
18070000 1.8381
18075000 2.20927
18080000 1.59374
18085000 1.99559
18090000 1.81693
18095000 2.43309
18100000 1.59514
18105000 1.81513
18110000 2.15474
18115000 1.46736
18120000 1.69022
18125000 1.99709
18130000 1.66384
18135000 1.87481
18140000 1.94175
18145000 1.55103
18150000 2.19289
18155000 1.86023
18160000 1.81047
18165000 1.82562
18170000 2.17123
18175000 1.59941
18180000 1.67289
18185000 1.89897
18190000 1.72326
18195000 1.62201
18200000 1.72328
18205000 1.85092
18210000 1.87753
18215000 1.53038
18220000 1.39553
18225000 1.4079
18230000 1.56381
18235000 1.70251
18240000 1.49348
18245000 1.25861
18250000 2.12967
18255000 1.77168
18260000 1.61596
18265000 1.7665
18270000 1.6838
18275000 1.81429
18280000 1.84767
18285000 1.76479
18290000 2.09471
18295000 1.96703
18300000 1.81847
18305000 1.46405
18310000 1.54397
18315000 2.03023
18320000 1.33434
18325000 1.7503
18330000 1.61354
18335000 1.90401
18340000 1.59575
18345000 1.84056
18350000 1.87685
18355000 1.88876
18360000 2.11784
18365000 1.91079
18370000 1.70754
18375000 1.64647
18380000 1.64326
18385000 1.82195
18390000 1.7544
18395000 1.7352
18400000 1.74778
18405000 1.5288
18410000 1.48796
18415000 1.67809
18420000 1.71568
18425000 1.91288
18430000 1.63723
18435000 1.44482
18440000 1.97927
18445000 1.5563
18450000 1.44804
18455000 1.89711
18460000 1.73831
18465000 1.61702
18470000 2.06262
18475000 1.66933
18480000 1.46881
