# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
12000000 200
169 10.11 0.323089 6.35 0.939999 26.7615 1.26827 7.6 0.825019 9.72 0 0.2 1.01683 141.86
170 10.17 0.478932 6.425 1.0488 27.3 0.626677 7.68571 1.12105 9.94 0 0.2 0.980687 144.463
171 10.23 0.94666 6.575 0.932884 27.7846 0.825796 7.8 1.41011 10.22 0 0.2 0.99756 147.142
172 10.29 1.24754 6.775 1.03912 28.3308 1.02024 7.94286 1.19461 10.46 0 0.2 1.03924 149.966
173 10.35 0.462418 6.85 1.1573 28.9462 0.403379 8 1.3776 10.74 0 0.2 1.00062 152.716
174 10.41 0.761838 6.975 0.872301 29.4154 1.99371 8.28571 0.972691 10.94 0 0.2 0.970874 155.416
175 10.47 0.753132 7.1 0.876469 29.8923 0.788371 8.4 0.673102 11.08 0 0.2 1.00647 158.248
176 10.53 0.744573 7.225 0.866509 30.3692 0.58456 8.48571 0.760518 11.24 0 0.2 0.964084 160.991
177 10.59 1.76678 7.525 0.898172 30.8692 0.770606 8.6 0.751925 11.4 0 0.2 1.02994 163.955
178 10.65 1.89251 7.85 1.03837 31.4538 0.571461 8.68571 0.743476 11.56 0 0.2 1.0317 166.958
179 10.71 0.863707 8 0.756567 31.8846 1.88359 8.97143 0.459481 11.66 10.1086 0.4 1.0004 169.903
180 10.77 0.711759 8.125 0.788241 32.3385 0.745063 9.08571 1.0905 11.9 9.99626 0.6 0.959702 172.76
181 10.83 0.563115 8.225 1.10984 32.9846 1.10525 9.25714 0.89871 12.1 0 0.6 1.03885 175.887
182 10.89 0.556927 8.325 1.08458 33.6231 0.910917 9.4 1.24437 12.38 0 0.6 0.959757 178.807
183 10.95 1.10168 8.525 1.07272 34.2615 0.900961 9.54286 0.967032 12.6 0 0.6 0.982737 181.831
184 11.01 0.136213 8.55 1.20169 34.9846 0.356467 9.6 1.3913 12.92 0 0.6 1.01572 184.991
185 11.07 0.538963 8.65 1.0243 35.6077 0.881534 9.74286 0.860164 13.12 0 0.6 0.967242 188.033
186 11.13 0.533168 8.75 1.10086 36.2846 0.872055 9.88571 0.850915 13.32 0 0.6 1.00989 191.243
187 11.19 0.791199 8.9 1.08908 36.9615 0.517637 9.97143 1.3469 13.64 0 0.6 1.00049 194.458
188 11.25 0.913245 9.075 0.930566 37.5462 1.36568 10.2 0.832859 13.84 0 0.6 0.996278 197.694
189 11.31 1.41991 9.35 0.896489 38.1154 1.52013 10.4571 1.15366 14.12 0 0.6 0.987554 200.936
190 11.37 1.27724 9.6 1.06686 38.8 0.334252 10.5143 1.71228 14.54 0 0.6 1.0289 204.349
191 11.43 0.379161 9.675 1.09127 39.5077 1.65376 10.8 1.21025 14.84 0 0.6 1.00076 207.704
192 11.49 1.12563 9.9 0.99774 40.1615 0.818266 10.9429 0.878272 15.06 8.78272 0.8 0.991217 211.063
193 11.55 0.495097 10 0.999017 40.8231 1.1337 11.1429 1.0272 15.32 0 0.8 0.99664 214.475
194 11.61 0.489993 10.1 0.896744 41.4231 1.2823 11.3714 1.09481 15.6 0 0.8 0.975579 217.849
195 11.67 1.4549 10.4 1.11512 42.1769 0.634575 11.4857 1.70278 16.04 0 0.8 1.00016 221.345
196 11.73 1.20005 10.65 0.979855 42.8462 0.628099 11.6 0.8427 16.26 0 0.8 0.976432 224.793
197 11.79 1.30665 10.925 0.94761 43.5 1.08802 11.8 1.2133 16.58 0 0.8 0.97154 228.258
198 11.85 0.823106 11.1 0.982182 44.1846 1.84633 12.1429 1.05092 16.86 0 0.8 0.964626 231.734
199 11.91 1.04764 11.325 1.02693 44.9077 0.456943 12.2286 1.04035 17.14 0 0.8 0.996753 235.363
200 11.97 1.38289 11.625 1.18971 45.7538 0.753956 12.3714 1.76563 17.62 0 0.8 0.983944 238.981
12020000 200
1 0.03 0 0 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0 0 0
