# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
17000000 30 3640
  19 9.18633 150 1.49533
  20 10.1863 132 1.32162
  21 11.1863 115 1.21912
  22 12.1863 119 1.15053
  23 13.1863 119 1.07691
  24 14.1863 123 1.30175
  25 15.1863 115 1.16545
  26 16.1863 119 1.18918
  27 17.1863 129 1.32293
  28 18.1863 112 1.16799
  29 19.1863 116 1.02693
  30 20.1863 86 0.750832
17250000 30 3640
  1 -8.81367 121 1.18018
  2 -7.81367 138 1.34315
  3 -6.81367 121 1.25643
  4 -5.81367 124 1.16624
  5 -4.81367 119 1.12616
  6 -3.81367 120 1.26266
  7 -2.81367 123 1.21516
  8 -1.81367 133 1.30793
  9 -0.813671 113 1.041
  10 0.186329 106 1.09099
  11 1.18633 111 1.12496
  12 2.18633 131 1.15136
  13 3.18633 122 1.33683
  14 4.18633 123 1.12863
  15 5.18633 134 1.31429
  16 6.18633 128 1.22521
  17 7.18633 114 0.988324
  18 8.18633 117 1.12485
  19 9.18633 149 1.48607
  20 10.1863 123 1.31677
  21 11.1863 123 1.24767
  22 12.1863 110 1.07347
  23 13.1863 114 1.19381
  24 14.1863 132 1.33693
  25 15.1863 122 1.20636
  26 16.1863 122 1.25769
  27 17.1863 124 1.3093
  28 18.1863 110 1.07596
  29 19.1863 119 1.03969
  30 20.1863 94 0.900364
17260000 30 3640
  1 -8.81367 103 0.988034
  2 -7.81367 143 1.39173
  3 -6.81367 111 1.15117
  4 -5.81367 131 1.23217
  5 -4.81367 125 1.16371
  6 -3.81367 129 1.31439
  7 -2.81367 128 1.30813
  8 -1.81367 129 1.26082
  9 -0.813671 114 1.13766
  10 0.186329 100 0.942094
  11 1.18633 125 1.25089
  12 2.18633 134 1.22983
  13 3.18633 123 1.23845
  14 4.18633 120 1.17615
  15 5.18633 139 1.33191
  16 6.18633 123 1.14007
  17 7.18633 119 1.01558
  18 8.18633 129 1.33066
  19 9.18633 147 1.36555
  20 10.1863 118 1.27831
  21 11.1863 110 1.26313
  22 12.1863 113 1.00057
  23 13.1863 128 1.20121
  24 14.1863 122 1.26959
  25 15.1863 116 1.12509
  26 16.1863 117 1.16609
  27 17.1863 107 1.15373
  28 18.1863 128 1.21486
  29 19.1863 116 1.07156
  30 20.1863 93 0.883405
17270000 30 3640
  1 -8.81367 113 1.12295
  2 -7.81367 129 1.30841
  3 -6.81367 110 1.06398
  4 -5.81367 137 1.3809
  5 -4.81367 126 1.18556
  6 -3.81367 130 1.30334
  7 -2.81367 125 1.25067
  8 -1.81367 126 1.23557
  9 -0.813671 125 1.21445
  10 0.186329 106 1.04026
  11 1.18633 108 1.16929
  12 2.18633 132 1.13809
  13 3.18633 122 1.24693
  14 4.18633 133 1.28962
  15 5.18633 123 1.18054
  16 6.18633 131 1.24326
  17 7.18633 114 1.00265
  18 8.18633 130 1.30718
  19 9.18633 140 1.42614
  20 10.1863 122 1.24818
  21 11.1863 122 1.30318
  22 12.1863 106 1.00764
  23 13.1863 131 1.24202
  24 14.1863 112 1.18187
  25 15.1863 120 1.17051
  26 16.1863 132 1.3158
  27 17.1863 119 1.37599
  28 18.1863 108 1.01764
  29 19.1863 119 1.01026
  30 20.1863 89 0.822105
17280000 30 3640
  1 -8.81367 86 0.867914
  2 -7.81367 151 1.53982
  3 -6.81367 112 0.932746
  4 -5.81367 129 1.36827
  5 -4.81367 117 1.16221
  6 -3.81367 119 1.12505
  7 -2.81367 139 1.4007
  8 -1.81367 131 1.24795
  9 -0.813671 128 1.29019
  10 0.186329 110 1.08413
  11 1.18633 113 1.03705
  12 2.18633 127 1.20215
  13 3.18633 132 1.31887
  14 4.18633 126 1.24042
  15 5.18633 136 1.34489
  16 6.18633 116 1.04812
  17 7.18633 130 1.16243
  18 8.18633 115 1.10151
  19 9.18633 150 1.45668
  20 10.1863 122 1.33108
  21 11.1863 116 1.19325
  22 12.1863 114 1.05309
  23 13.1863 126 1.19961
  24 14.1863 113 1.26915
  25 15.1863 127 1.09164
  26 16.1863 114 1.19565
  27 17.1863 127 1.36354
  28 18.1863 111 1.10763
  29 19.1863 125 1.07055
  30 20.1863 78 0.671938
17290000 30 3640
  1 -8.81367 89 0.872345
  2 -7.81367 144 1.38101
  3 -6.81367 112 1.04881
  4 -5.81367 131 1.32143
  5 -4.81367 126 1.15622
  6 -3.81367 125 1.33864
  7 -2.81367 127 1.16743
  8 -1.81367 127 1.2178
  9 -0.813671 119 1.24632
  10 0.186329 107 0.967474
