# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
17000000 200
194 11.61 1.23259 10.125 0.983286 40.8769 0.806412 11.3429 0.62949 15.8 0 0.6 0.942125 216.112
195 11.67 0.975955 10.325 1.13349 41.6385 0.159628 11.3714 0.778793 16 0 0.6 1.02399 219.669
196 11.73 0.845247 10.5 1.0766 42.3692 0.315999 11.4286 1.07918 16.28 0 0.6 0.982493 223.116
197 11.79 1.19524 10.75 1.23393 43.2154 1.25116 11.6571 1.29713 16.62 0 0.6 0.980938 226.594
198 11.85 0.828215 10.925 1.0549 43.9462 0.774078 11.8 1.05744 16.9 0 0.6 1.01812 230.24
199 11.91 1.17127 11.175 1.23118 44.8077 1.22608 12.0286 1.12158 17.2 0 0.6 0.984374 233.801
200 11.97 0.927648 11.375 1.06651 45.5615 1.51727 12.3143 0.740245 17.4 8.14269 0.8 0.995361 237.439
17020000 200
1 0.03 0 0 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0 0 0 0 0 0 0
40 2.37 0 0 0 0 0 0 0 0 0 0 0 0
41 2.43 0 0 0 0 0 0 0 0 0 0 0 0
42 2.49 0 0 0 0 0 0 0 0 0 0 0 0
43 2.55 0 0 0 0 0 0 0 0 0 0 0 0
44 2.61 0 0 0 0 0 0 0 0 0 0 0 0
45 2.67 0 0 0 0 0 0 0 0 0 0 0 0
46 2.73 0 0 0 0 0 0 0 0 0 0 0 0
47 2.79 0 0 0 0 0 0 0 0 0 0 0 0
48 2.85 0 0 0 0 0 0 0 0 0 0 0 0
49 2.91 0 0 0 0 0 0 0 0 0 0 0 0
50 2.97 0 0 0 0 0 0 0 0 0 0 0.0330714 0.00746269
51 3.03 0 0 0 0 0 0 1.15176 0.02 0 0 0.0381296 0.0164179
52 3.09 0 0 0 0 0 0 0 0.02 0 0 0.0305527 0.0238806
53 3.15 0 0 0 0 0 0 1.06568 0.04 0 0 0.0529199 0.0373134
54 3.21 0 0 0 0 0 0 0 0.04 0 0 0.073609 0.0567164
55 3.27 0 0 0.145383 0.00769231 0 0 0 0.04 0 0 0.0873017 0.080597
56 3.33 0 0 0 0.00769231 0 0 0 0.04 0 0 0.10523 0.110448
57 3.39 0 0 0.135273 0.0153846 1.88598 0.0285714 0 0.04 0 0 0.106615 0.141791
58 3.45 0 0 0.261218 0.0307692 0 0.0285714 0 0.04 0 0 0.142154 0.185075
59 3.51 0 0 0.252364 0.0461538 0 0.0285714 0 0.04 0 0 0.274672 0.271642
60 3.57 0 0 0.243953 0.0615385 0 0.0285714 1.65937 0.08 0 0 0.219738 0.343284
61 3.63 0 0 0.353933 0.0846154 1.64485 0.0571429 0 0.08 0 0 0.243529 0.425373
62 3.69 0 0 0 0.0846154 0 0.0571429 1.5532 0.12 0 0 0.282808 0.523881
63 3.75 0 0 0.773836 0.138462 1.54126 0.0857143 1.5039 0.16 0 0 0.352661 0.650746
64 3.81 0 0 0.428375 0.169231 0 0.0857143 0.728453 0.18 0 0 0.418008 0.80597
65 3.87 0 0 0.726591 0.223077 0 0.0857143 0.706041 0.2 0 0 0.471374 0.986567
66 3.93 0 0 0.805229 0.284615 0 0.0857143 0.684648 0.22 0 0 0.517532 1.19104
67 3.99 0 0 1.07414 0.369231 1.36143 0.114286 3.32106 0.32 0 0 0.476431 1.38507
68 4.05 0 0 0.758219 0.430769 1.32139 0.142857 0 0.32 0 0 0.615373 1.64328
69 4.11 0 0 1.01233 0.515385 0 0.142857 1.87798 0.38 0 0 0.970567 2.06269
70 4.17 0 0 1.34102 0.630769 3.7393 0.228571 1.82433 0.44 0 0 1.33541 2.65672
71 4.23 0 0 1.12948 0.730769 0 0.228571 1.18196 0.48 0 0 1.29779 3.25075
72 4.29 0.90003 0.025 1.09811 0.830769 2.35536 0.285714 1.14913 0.52 0 0 1.00813 3.72537
73 4.35 0 0.025 1.23233 0.946154 0 0.285714 0 0.52 0 0 0.894176 4.15821
74 4.41 0 0.025 1.91845 1.13077 0 0.285714 0 0.52 0 0 0.84001 4.57612
