# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
19530000 1.02953
19535000 0.987775
19540000 0.941468
19545000 0.821062
19550000 0.936991
19555000 0.850082
19560000 0.903868
19565000 0.778349
19570000 0.775235
19575000 0.93003
19580000 0.733925
19585000 0.752025
19590000 0.78822
19595000 0.962971
19600000 0.897025
19605000 0.797554
19610000 0.933406
19615000 0.713536
19620000 0.744028
19625000 1.08741
19630000 1.06019
19635000 0.875979
19640000 1.02611
19645000 0.853019
19650000 0.917596
19655000 0.945742
19660000 0.750369
19665000 0.949821
19670000 1.00905
19675000 0.756819
19680000 0.624059
19685000 0.836615
19690000 1.06167
19695000 1.13148
19700000 1.19995
19705000 0.540404
19710000 0.872184
19715000 0.774605
19720000 0.985782
19725000 0.754297
19730000 0.877525
19735000 0.942521
19740000 1.19046
19745000 0.764558
19750000 0.829367
19755000 0.756499
19760000 0.884976
19765000 0.661294
19770000 0.878013
19775000 0.885292
19780000 0.841183
19785000 0.896468
19790000 1.14027
19795000 1.12245
19800000 1.12392
19805000 0.924128
19810000 1.24404
19815000 0.684145
19820000 0.917451
19825000 1.01308
19830000 0.674044
19835000 0.778611
19840000 0.82003
19845000 0.934206
19850000 0.936398
19855000 0.927657
19860000 0.710663
19865000 1.0648
19870000 1.0434
19875000 0.953127
19880000 1.00996
19885000 0.921175
19890000 0.893773
19895000 0.681426
19900000 0.870131
19905000 0.938738
19910000 0.903257
19915000 0.909431
19920000 0.93615
19925000 1.09051
19930000 1.18158
19935000 0.908733
19940000 0.860594
19945000 0.975504
19950000 0.83672
19955000 0.824501
19960000 0.894893
19965000 0.832688
19970000 0.832273
19975000 0.829212
19980000 1.01592
19985000 0.800688
19990000 0.675373
19995000 0.983537
20000000 0.796326
