# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
18182000 314.65 -905.268 1.20353 39466.8
18184000 319.289 -1482.12 1.19186 39853
18186000 317.359 1774.35 1.20612 39382
18188000 310.152 -561.113 1.20256 39498.4
18190000 310.395 561.161 1.20075 39557.9
18192000 314.345 268.779 1.21184 39196.2
18194000 315.202 908.37 1.20105 39548
18196000 308.798 14.9533 1.19556 39729.8
18198000 312.869 -1286.01 1.20627 39377.2
18200000 312.292 -637.906 1.20845 39306.1
18202000 314.071 -1054.27 1.20759 39334
18204000 313.58 -363.719 1.20471 39427.9
18206000 307.259 836.712 1.21052 39238.9
18208000 324.181 -43.4823 1.19943 39601.5
18210000 312.456 -158.316 1.20787 39324.9
