# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
686000 378.237 -2419.6 1.1636
687000 374.014 -1920.02 1.17949
688000 370.947 -1167.17 1.17518
689000 365.636 -1134.13 1.16007
690000 372.504 -346.419 1.16472
691000 369.36 1486.85 1.17174
692000 368.997 -242.132 1.16181
693000 366.663 -699.214 1.17132
694000 375.722 2519.87 1.17842
695000 378.784 -1678.2 1.17211
696000 369.86 101.397 1.16157
697000 370.871 -2479.17 1.16356
698000 375.031 -1745.25 1.16913
699000 363.174 1220.94 1.1714
700000 368.032 672.864 1.1591
701000 367.607 1872.73 1.16973
702000 360.043 -1747.19 1.16678
703000 367.174 2945.19 1.17001
704000 370.097 572.659 1.16772
705000 368.385 -478.049 1.17084
706000 364.516 1015.09 1.16944
707000 370.313 850.649 1.16437
708000 369.214 1445.59 1.16469
709000 367.22 1686.94 1.18305
710000 368.548 -1918 1.16389
711000 367.566 2301 1.17972
712000 366.884 2196.39 1.16583
713000 373.588 -380.925 1.14875
714000 359.34 -142.204 1.16837
715000 366.295 -2030.1 1.16408
716000 361.982 561.053 1.16998
717000 361.379 -574.763 1.18091
718000 357.829 -1231.77 1.16104
719000 361.369 335.622 1.16624
720000 364.476 2832.63 1.17976
721000 363.343 -1238.63 1.16295
722000 359.883 531.633 1.16382
723000 364.34 416.884 1.17438
724000 374.535 -139.131 1.15894
725000 371.575 -832.195 1.15412
726000 364.466 3861.64 1.18625
727000 363.529 -1898.66 1.16801
728000 360.059 -315.983 1.16631
729000 358.823 -454.373 1.16504
730000 361.608 -137.025 1.17321
731000 365.768 1016.91 1.16269
732000 363.681 -9.2102 1.16558
733000 359.488 -1067.69 1.17513
734000 354.585 711.544 1.15944
735000 356.465 117.999 1.17003
736000 367.974 388.732 1.17305
737000 371.184 1412.64 1.15913
738000 366.457 1110.88 1.18219
739000 358.901 1195.78 1.1704
740000 356.719 470.583 1.16166
741000 361.313 1775.42 1.17565
742000 358.424 1928.43 1.17648
743000 362.375 680.83 1.1643
744000 356.16 1405.15 1.17185
745000 352.808 1732.78 1.17945
746000 353.33 -1640.34 1.16741
747000 365.321 183.923 1.17357
748000 368.385 2089.02 1.1806
749000 365.335 -751.21 1.17327
750000 364.045 140.808 1.17753
751000 359.842 450.783 1.18523
752000 351.091 194.054 1.17605
753000 360.613 2252.23 1.15558
754000 355.789 68.5187 1.1729
755000 358.642 2087.11 1.16772
756000 365.624 2108.55 1.16912
757000 358.821 -1156.42 1.17231
758000 356.271 -976.316 1.16412
759000 361.934 859.125 1.17213
760000 354.036 496.016 1.17781
761000 350.469 314.413 1.16153
762000 352.821 910.26 1.17219
763000 362.697 -149.972 1.18128
764000 357.984 -280.014 1.17294
765000 357.331 -1227.81 1.17095
766000 354.217 3406.92 1.18284
767000 351.345 1401 1.16765
768000 356.995 1514.91 1.17717
769000 349.716 1697.08 1.18573
770000 354.638 -1898.81 1.17365
771000 355.261 -1336.19 1.16678
772000 356.646 527.697 1.17411
773000 359.95 -837.856 1.17813
774000 355.812 -876.091 1.18412
775000 365.309 1078.88 1.17247
776000 352.991 -911.414 1.17233
777000 349.403 -412.597 1.16718
778000 357.122 -1701.07 1.17743
779000 358.046 -575.966 1.17442
780000 353.242 -841.113 1.16856
781000 358.939 -524.549 1.17149
782000 361.054 2853.9 1.17606
783000 357.42 616.668 1.18282
784000 361.295 1247.67 1.18216
785000 350.8 -1.82799 1.17661
786000 354.182 -851.649 1.17844
787000 351.718 -97.5105 1.1799
788000 345.073 -160.437 1.18149
789000 356.179 -482.598 1.17164
790000 349.614 -3308.74 1.17442
791000 359.739 126.487 1.1732
792000 357.345 -70.5094 1.17614
793000 350.891 1295.8 1.18204
794000 351.214 522.145 1.17738
795000 352.043 1328.14 1.1716
796000 347.721 1444.46 1.18391
797000 354.611 -1354.03 1.17939
798000 352.777 822.479 1.16744
799000 351.091 24.3302 1.16289
800000 358.852 -1822.06 1.17464
801000 350.849 -937.343 1.17855
802000 349.938 -289.047 1.17797
803000 349.785 -1439.52 1.18029
804000 351.893 1665.14 1.17738
805000 349.519 -558.796 1.17595
806000 344.621 584.659 1.17266
807000 361.658 1751.93 1.18615
808000 363.332 1061.7 1.18808
809000 346.004 300.601 1.17503
810000 336.882 -1071.05 1.18462
811000 349.046 1106.1 1.17732
812000 354.021 659.918 1.1833
813000 348.452 -1716.93 1.18628
814000 343.353 594.964 1.18486
