# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
433000 312.141 568.451 1.20122 39542.7
434000 314.329 -8.80397 1.21198 39191.4
435000 315.156 -1003.36 1.20291 39487
436000 317.137 992.608 1.20735 39341.9
437000 315.806 -870.269 1.19628 39705.9
438000 313.205 -879.864 1.21501 39093.6
439000 307.977 1273.08 1.19917 39610.1
440000 309.144 -861.454 1.19743 39667.7
441000 313.484 -265.567 1.20645 39371.2
442000 311.964 -116.642 1.19491 39751.5
443000 309.152 -1516.36 1.20071 39559.4
444000 306.195 -1597.74 1.19215 39843.6
445000 308.515 478.758 1.1939 39785.1
446000 309.861 686.546 1.19628 39705.9
447000 313.902 575.608 1.19946 39600.5
448000 314.685 -1335.91 1.20472 39427.6
449000 314.565 2182.91 1.19429 39772.2
450000 319.836 596.936 1.20975 39263.8
451000 311.435 -487.114 1.19863 39627.9
452000 313.479 306.055 1.21462 39106.5
453000 313.143 1463.21 1.20059 39563.4
454000 306.414 -903.646 1.19656 39696.7
455000 311.26 -367.599 1.20389 39454.8
456000 305.635 -424.089 1.1984 39635.5
457000 312.767 -682.635 1.2001 39579.5
458000 305.909 821.209 1.20111 39546.1
459000 312.638 -487.077 1.19942 39602.1
460000 312.494 -258.765 1.2132 39152.2
461000 308.552 -1314.56 1.19306 39813.2
462000 318.744 262.474 1.20813 39316.5
463000 325.292 1415.88 1.20021 39575.8
464000 307.289 1033.3 1.2081 39317.5
465000 310.098 948.279 1.18583 40055.9
466000 310.794 10.849 1.2109 39226.4
467000 304.398 -34.7691 1.1946 39761.8
468000 313.617 -1397.99 1.19955 39597.7
469000 315.988 -124.336 1.20425 39443
470000 317.759 -2209.38 1.19933 39604.9
471000 309.123 3152.64 1.20525 39410.5
472000 313.34 -2441.3 1.2032 39477.4
473000 310.754 331.715 1.19701 39681.6
474000 312.867 -893.07 1.20569 39396.1
475000 314.523 1474.95 1.1946 39761.6
476000 314.539 225.539 1.21411 39122.8
477000 312.641 -675.671 1.20838 39308.2
478000 306.314 -972.752 1.20326 39475.4
479000 318.792 295.309 1.19911 39612.3
480000 320.591 -402.89 1.20698 39354
481000 311.332 -1526.86 1.19936 39603.9
482000 311.084 612.933 1.19876 39623.9
483000 313.691 -566.584 1.2046 39431.5
484000 313.148 1680.6 1.20557 39400.1
485000 308.1 -11.0379 1.19436 39769.6
486000 314.989 2763.69 1.20771 39330.2
487000 318.518 210.108 1.20858 39301.8
488000 308.495 -1954.3 1.19675 39690.2
489000 313.609 -1101.91 1.20023 39575.3
490000 307.543 -612.17 1.19653 39697.7
491000 314.075 830.603 1.20736 39341.6
492000 316.257 -583.458 1.2043 39441.4
493000 314.557 -387.072 1.19832 39638.3
494000 310.913 -896.943 1.18837 39970.2
495000 317.012 -63.1732 1.20165 39528.6
496000 304.765 -433.895 1.20679 39359.9
497000 314.941 -140.473 1.18943 39934.6
498000 313.327 -335.991 1.20825 39312.4
499000 310.239 -351.033 1.20489 39422.1
500000 317.714 1074.8 1.20953 39271
501000 313.9 1090.28 1.19203 39847.3
502000 316.231 199.847 1.21059 39236.6
503000 309.445 -894.574 1.19342 39800.9
504000 310.006 -540.317 1.20978 39262.7
505000 310.153 361.483 1.20412 39447.5
506000 319.073 2193.37 1.20472 39427.6
507000 316.575 1601.55 1.20708 39350.6
508000 311.396 -1260.2 1.19094 39884
509000 314.288 -656.336 1.20781 39326.8
510000 316.738 -401.86 1.2079 39324
